都道府県市区町村名大字・丁目名,緯度,経度,情報

長田区若松町六丁目,34.655507,135.143942, 鉄人広場。ここに鉄人２８号が立っています。https://www.city.kobe.lg.jp/h53961/kuyakusho/nagataku/jyouhou/tetsujin28.html
東京都葛飾区亀有３丁目,35.766913,139.847855,亀有駅前。ここに両さんの銅像が立っています。ほかの場所にも何体かあるそうです。
