単語,
悲,
哀,
愁,
哭,
涙,
憂,
傷,
嘆,
慟,
悔,
憐,
痛,
惨,
遺,
喪,
虞,
悼,
憫,
懐,
怨,
憾,
悶,
慨,
悛,
愴,
咎,
憮,
悴,
愚,
鬱,
憤,
嗟,
