単語,
怒,
激,
烈,
憤,
焦,
咆,
暴,
猛,
突,
狂,
燃,
疾,
痛,
窮,
痺,
荒,
煽,
烙,
竦,
爆,
狷,
嚴,
酷,
噴,
哮,
威,
凶,
壊,
強,
衝,
逞,
猛,
挑,
篤,
謀,
震,
撃,

悍,
