単語,
家,
寺,
社,
城,
館,
市,
舎,
校,
館,
庁,
院,
駅,
港,
署,
局,
銀行,
宿,
レストラン,
カフェ,
マーケット,
百貨店,
アパート,
ビル,
場,
倉,
寮,
屋,
房,
窯,
室,
橋,
階段,
エスカレーター,
エレベーター,
展望台,
塔,
クリニック,
教会,
モスク,
寺,
レジデンス,
カジノ,
スタジアム,
園,
遊園地,
ライブハウス,
劇場,
アリーナ,
センター,
クラブ,
コンドミニアム,
パビリオン,
キオスク,
デパート,
ホステル,
テーマパーク,
マーケット,
シアター,
ショッピングモール,
城,


