緯度,経度,情報
41.93193267,140.939788,1
41.73853947,140.9316806,1
41.84175816,140.7669862,1
41.86183945,140.7810219,1
41.79442818,140.8577171,1
41.79594962,140.7305646,1
41.83127054,140.7280459,1
41.849646,140.7335145,1
41.84106578,140.734696,1
41.8478419,140.7192565,1
41.77850357,140.7641414,1
41.77657166,140.7561356,1
41.78284921,140.7681581,1
41.78770892,141.1492493,1
41.79299588,141.1643135,1
41.81433252,141.1806881,1
41.79200956,140.8028348,1
41.79308543,140.8041062,1
41.76336187,140.710807,1
41.72952102,141.0317623,1
41.75890532,140.8664182,1
41.758649,140.869163,1
41.86447296,141.1188274,1
41.78387531,140.8028338,1
41.78609187,140.8058916,1
41.79972558,140.7524694,1
41.80421481,140.72436,1
41.80849818,140.718883,1
41.7875953,140.8029721,1
41.77612744,140.8016492,1
41.77675174,140.8103407,1
41.8092647,141.1095068,1
41.80262713,140.7760612,1
41.80544146,140.7864845,1
41.76631255,140.8191923,1
41.76743671,140.8228821,1
41.78305215,140.7522177,1
41.71566146,140.9525936,1
41.77718157,140.7307039,1
41.73956619,140.9301033,1
41.73964512,140.931309,1
41.81393004,140.7423874,1
41.8127813,140.7435268,1
41.82132659,140.7312299,1
41.79132912,140.7594849,1
41.78382997,140.8158918,1
41.78725661,140.8201297,1
41.778072,140.736572,1
41.83019614,141.1457935,1
41.83004991,141.1438277,1
41.83471826,141.1409934,1
41.76148702,140.8463368,1
41.78861338,140.7794863,1
41.7863331,140.781346,1
41.78590987,140.7769751,1
41.82031469,140.7635804,1
41.82569881,140.770591,1
41.8351833,140.7897086,1
41.78731919,140.7567137,1
41.7147575,140.9807901,1
41.79660565,140.8241755,1
41.79959,140.82776,1
41.80398732,140.8323006,1
41.82799705,140.7237599,1
41.82803442,140.7199964,1
41.75819367,140.7147994,1
41.75778063,140.7180631,1
41.75457391,140.7186181,1
41.83307248,140.7453721,1
41.83875554,140.741845,1
41.82397399,140.7390244,1
41.8303021,140.7616409,1
41.837171,140.769194,1
41.78586129,140.7465763,1
41.90569659,140.9707807,1
41.90609078,140.9713262,1
41.90508181,140.9688695,1
41.9076735,140.9634309,1
41.79236196,140.7681066,1
41.76135551,140.8364984,1
41.74745102,141.0739891,1
41.76670772,140.7326106,1
41.7983,140.74107,1
41.96948916,140.9089398,1
41.93740648,140.9127583,1
41.78303817,140.7338352,1
41.75107315,140.7113393,1
41.81160601,140.7656004,1
41.784551,140.7433091,1
41.75361872,141.0761097,1
41.75769804,141.077235,1
41.7666856,140.8849584,1
41.77982969,140.7516949,1
41.76868002,140.7288973,1
41.80557963,140.7734687,1
41.81393399,140.7749261,1
41.78296266,140.7841277,1
41.78225987,140.7832273,1
41.78340451,140.785619,1
41.78400723,140.7876035,1
41.78637303,140.7860877,1
41.78032145,140.7965349,1
41.78503606,141.1055698,1
41.73357803,141.0507573,1
41.79404817,140.7874063,1
41.80032677,140.7925615,1
41.80478091,140.7939817,1
41.78596509,140.7643259,1
41.78709341,141.1406511,1
41.7568453,140.9008528,1
41.7936854,140.7371656,1
41.89656186,140.9942637,1
41.89613167,140.9949819,1
41.88793545,141.0217589,1
41.81509595,140.752372,1
41.81577586,140.7601642,1
