緯度,経度,場所
34.709809,135.272379,神戸市東灘区魚崎南町四丁目
34.714923,135.265896,神戸市東灘区住吉東町三丁目
34.722706,135.270304,神戸市東灘区田中町四丁目
34.723461,135.272516,神戸市東灘区田中町三丁目
34.714795,135.278807,神戸市東灘区魚崎南町六丁目
34.713365,135.274474,神戸市東灘区魚崎南町七丁目
34.715795,135.277463,神戸市東灘区魚崎中町一丁目
34.715219,135.275029,神戸市東灘区魚崎中町二丁目
34.714674,135.273103,神戸市東灘区魚崎中町三丁目
34.71409,135.27061,神戸市東灘区魚崎中町四丁目
34.712814,135.267031,神戸市東灘区魚崎西町四丁目
34.717779,135.276317,神戸市東灘区魚崎北町一丁目
34.717284,135.274065,神戸市東灘区魚崎北町二丁目
34.719793,135.275373,神戸市東灘区魚崎北町五丁目
34.721101,135.273564,神戸市東灘区甲南町三丁目
34.719242,135.27315,神戸市東灘区魚崎北町六丁目
34.718527,135.271223,神戸市東灘区魚崎北町七丁目
34.716536,135.272116,神戸市東灘区魚崎北町三丁目
34.720545,135.270973,神戸市東灘区甲南町四丁目
34.716807,135.269588,神戸市東灘区魚崎北町四丁目
34.718815,135.268739,神戸市東灘区魚崎北町八丁目
34.720219,135.268121,神戸市東灘区甲南町五丁目
34.715334,135.267707,神戸市東灘区住吉東町一丁目
34.718333,135.266431,神戸市東灘区住吉東町二丁目
34.721597,135.268237,神戸市東灘区田中町五丁目
34.723741,135.265535,神戸市東灘区西岡本二丁目
34.717923,135.264295,神戸市東灘区住吉東町四丁目
34.71995,135.265002,神戸市東灘区住吉東町五丁目
34.713037,135.263537,神戸市東灘区住吉宮町一丁目
34.721512,135.262963,神戸市東灘区住吉本町一丁目
34.718107,135.254252,神戸市東灘区御影中町四丁目
34.720175,135.249919,神戸市東灘区御影一丁目
34.714634,135.263176,神戸市東灘区住吉宮町二丁目
34.713955,135.260297,神戸市東灘区住吉宮町五丁目
34.71485,135.250817,神戸市東灘区御影石町三丁目
34.718869,135.261866,神戸市東灘区住吉宮町四丁目
34.71702,135.262225,神戸市東灘区住吉宮町三丁目
34.716384,135.259327,神戸市東灘区住吉宮町六丁目
34.71831,135.258801,神戸市東灘区住吉宮町七丁目
34.720681,135.254783,神戸市東灘区御影郡家一丁目
34.720837,135.258899,神戸市東灘区住吉本町二丁目
34.715724,135.25715,神戸市東灘区御影中町一丁目
34.718263,135.25613,神戸市東灘区御影中町二丁目
34.716127,135.255031,神戸市東灘区御影中町三丁目
34.71574,135.253616,神戸市東灘区御影中町五丁目
34.717967,135.252725,神戸市東灘区御影中町六丁目
34.715407,135.252521,神戸市東灘区御影中町七丁目
34.717825,135.251473,神戸市東灘区御影中町八丁目
34.7174,135.249881,神戸市東灘区御影石町四丁目
34.709016,135.270079,神戸市東灘区魚崎南町五丁目
34.712427,135.270991,神戸市東灘区魚崎南町八丁目
34.71187,135.267768,神戸市東灘区魚崎西町三丁目
34.710405,135.267347,神戸市東灘区魚崎西町二丁目
34.708412,135.263951,神戸市東灘区住吉南町一丁目
34.708019,135.266983,神戸市東灘区魚崎西町一丁目
34.709434,135.257226,神戸市東灘区御影本町三丁目
34.70961,135.2559,神戸市東灘区御影本町五丁目
34.712753,135.253711,神戸市東灘区御影本町八丁目
34.713066,135.258072,神戸市東灘区御影本町二丁目
34.712955,135.25497,神戸市東灘区御影本町六丁目
34.712593,135.251612,神戸市東灘区御影石町二丁目
34.710437,135.264211,神戸市東灘区住吉南町二丁目
34.709381,135.261421,神戸市東灘区住吉南町四丁目
34.711935,135.263313,神戸市東灘区住吉南町三丁目
34.712238,135.260943,神戸市東灘区住吉南町五丁目
34.70943,135.259158,神戸市東灘区御影本町一丁目
34.71327,135.256073,神戸市東灘区御影本町四丁目
34.709788,135.254648,神戸市東灘区御影本町七丁目
34.709601,135.252659,神戸市東灘区御影石町一丁目
34.694738,135.2818,神戸市東灘区向洋町東二丁目
34.695777,135.270832,神戸市東灘区向洋町東一丁目
34.695517,135.266244,神戸市東灘区向洋町西一丁目
34.684448,135.273306,神戸市東灘区向洋町中四丁目
34.686637,135.272952,神戸市東灘区向洋町中三丁目
34.683717,135.266986,神戸市東灘区向洋町中八丁目
34.685828,135.266003,神戸市東灘区向洋町中七丁目
34.694079,135.278714,神戸市東灘区向洋町東三丁目
34.689498,135.272694,神戸市東灘区向洋町中二丁目
34.692053,135.272054,神戸市東灘区向洋町中一丁目
34.688439,135.26621,神戸市東灘区向洋町中六丁目
34.691815,135.265543,神戸市東灘区向洋町中五丁目
34.683338,135.258839,神戸市東灘区向洋町西六丁目
34.688985,135.261889,神戸市東灘区向洋町西五丁目
34.691309,135.25371,神戸市東灘区向洋町西三丁目
34.689451,135.257426,神戸市東灘区向洋町西四丁目
34.693759,135.259536,神戸市東灘区向洋町西二丁目
34.681163,135.268459,神戸市東灘区向洋町中九丁目
34.68502,135.283205,神戸市東灘区向洋町東四丁目
34.726573,135.243568,神戸市東灘区御影山手五丁目
34.730575,135.244114,神戸市東灘区御影山手六丁目
34.753965,135.22812,神戸市灘区六甲山町
34.703775,135.245121,神戸市灘区灘浜東町
34.735569,135.243533,神戸市灘区高羽
34.719323,135.247039,神戸市灘区弓木町一丁目
34.71808,135.247606,神戸市灘区大和町一丁目
34.716674,135.246832,神戸市灘区中郷町二丁目
34.715538,135.247393,神戸市灘区徳井町二丁目
34.720326,135.245776,神戸市灘区高徳町一丁目
34.717143,135.247965,神戸市灘区中郷町一丁目
34.714262,135.247839,神戸市灘区記田町二丁目
34.713869,135.246782,神戸市灘区記田町三丁目
34.716008,135.248661,神戸市灘区徳井町一丁目
34.714642,135.248935,神戸市灘区記田町一丁目
34.69586,135.227183,神戸市灘区摩耶埠頭
34.737448,135.235904,神戸市灘区鶴甲五丁目
34.735476,135.236447,神戸市灘区鶴甲四丁目
34.736252,135.231685,神戸市灘区水車新田
34.735506,135.229462,神戸市灘区大月台
34.728272,135.242122,神戸市灘区土山町
34.728118,135.2409,神戸市灘区桜ケ丘町
34.723756,135.234842,神戸市灘区赤松町二丁目
34.723666,135.235957,神戸市灘区赤松町一丁目
34.7232,135.232281,神戸市灘区赤松町三丁目
34.723046,135.243171,神戸市灘区高羽町一丁目
34.723168,135.241324,神戸市灘区高羽町二丁目
34.724293,135.23848,神戸市灘区寺口町
34.722781,135.235525,神戸市灘区曾和町一丁目
34.727969,135.239125,神戸市灘区一王山町
34.731237,135.237453,神戸市灘区鶴甲一丁目
34.732757,135.236114,神戸市灘区鶴甲二丁目
34.73421,135.233339,神戸市灘区鶴甲三丁目
34.725898,135.223468,神戸市灘区長峰台一丁目
34.725048,135.230469,神戸市灘区大土平町二丁目
34.724209,135.228101,神戸市灘区篠原北町三丁目
34.727792,135.234695,神戸市灘区六甲台町
34.725384,135.231709,神戸市灘区大土平町一丁目
34.723249,135.229466,神戸市灘区篠原北町二丁目
34.725004,135.221836,神戸市灘区長峰台二丁目
34.723864,135.221196,神戸市灘区箕岡通一丁目
34.727157,135.22996,神戸市灘区篠原伯母野山町一丁目
34.731002,135.229445,神戸市灘区篠原台
34.729887,135.227536,神戸市灘区篠原伯母野山町三丁目
34.727362,135.226863,神戸市灘区篠原伯母野山町二丁目
34.732946,135.223179,神戸市灘区篠原
34.724913,135.218465,神戸市灘区五毛
34.733307,135.212404,神戸市灘区大石
34.736464,135.201877,神戸市灘区摩耶山町
34.721147,135.242229,神戸市灘区楠丘町三丁目
34.713436,135.239291,神戸市灘区備後町四丁目
34.712618,135.239657,神戸市灘区桜口町四丁目
34.717424,135.237609,神戸市灘区日尾町二丁目
34.717208,135.236466,神戸市灘区日尾町三丁目
34.722048,135.237514,神戸市灘区高羽町五丁目
34.722034,135.236022,神戸市灘区山田町一丁目
34.721455,135.234657,神戸市灘区山田町二丁目
34.722288,135.234205,神戸市灘区曾和町二丁目
34.721146,135.233167,神戸市灘区山田町三丁目
34.715173,135.24625,神戸市灘区徳井町三丁目
34.713496,135.245648,神戸市灘区記田町四丁目
34.713145,135.244607,神戸市灘区記田町五丁目
34.712782,135.243509,神戸市灘区友田町一丁目
34.71382,135.243038,神戸市灘区桜口町一丁目
34.712335,135.242417,神戸市灘区友田町二丁目
34.713449,135.241926,神戸市灘区桜口町二丁目
34.714365,135.24135,神戸市灘区備後町二丁目
34.713069,135.240581,神戸市灘区桜口町三丁目
34.714059,135.240364,神戸市灘区備後町三丁目
34.71355,135.237906,神戸市灘区備後町五丁目
34.714021,135.236465,神戸市灘区稗原町一丁目
34.713425,135.235498,神戸市灘区稗原町二丁目
34.71293,135.234681,神戸市灘区稗原町三丁目
34.712559,135.233915,神戸市灘区稗原町四丁目
34.713536,135.233823,神戸市灘区六甲町三丁目
34.713067,135.232498,神戸市灘区千旦通一丁目
34.717815,135.246363,神戸市灘区大和町二丁目
34.719001,135.245813,神戸市灘区弓木町二丁目
34.716287,135.245715,神戸市灘区中郷町三丁目
34.717474,135.245323,神戸市灘区大和町三丁目
34.721765,135.244933,神戸市灘区楠丘町一丁目
34.714766,135.245089,神戸市灘区徳井町四丁目
34.715911,135.244552,神戸市灘区中郷町四丁目
34.714413,135.243885,神戸市灘区徳井町五丁目
34.718683,135.244648,神戸市灘区弓木町三丁目
34.719861,135.244089,神戸市灘区高徳町二丁目
34.72144,135.243364,神戸市灘区楠丘町二丁目
34.717128,135.244001,神戸市灘区大和町四丁目
34.715567,135.24344,神戸市灘区中郷町五丁目
34.718337,135.243471,神戸市灘区弓木町四丁目
34.71952,135.242951,神戸市灘区高徳町三丁目
34.716789,135.242743,神戸市灘区大和町五丁目
34.717914,135.242457,神戸市灘区弓木町五丁目
34.719197,135.241914,神戸市灘区高徳町四丁目
34.715005,135.242454,神戸市灘区備後町一丁目
34.716386,135.241757,神戸市灘区深田町一丁目
34.718834,135.240851,神戸市灘区高徳町五丁目
34.717469,135.241311,神戸市灘区永手町一丁目
34.715605,135.240878,神戸市灘区深田町二丁目
34.716786,135.24032,神戸市灘区永手町二丁目
34.720841,135.241086,神戸市灘区楠丘町四丁目
34.717774,135.238718,神戸市灘区日尾町一丁目
34.717324,135.239318,神戸市灘区森後町一丁目
34.718537,135.239839,神戸市灘区高徳町六丁目
34.715025,135.239926,神戸市灘区深田町三丁目
34.71435,135.238899,神戸市灘区深田町四丁目
34.716108,135.239429,神戸市灘区永手町三丁目
34.722822,135.239825,神戸市灘区高羽町三丁目
34.720457,135.240007,神戸市灘区楠丘町五丁目
34.722397,135.23854,神戸市灘区高羽町四丁目
34.715413,135.238444,神戸市灘区永手町四丁目
34.720067,135.238773,神戸市灘区楠丘町六丁目
34.716527,135.237985,神戸市灘区森後町二丁目
34.714681,135.23741,神戸市灘区永手町五丁目
34.715972,135.236883,神戸市灘区森後町三丁目
34.719081,135.236581,神戸市灘区八幡町二丁目
34.719388,135.237852,神戸市灘区八幡町一丁目
34.721223,135.23649,神戸市灘区宮山町一丁目
34.720601,135.23483,神戸市灘区宮山町二丁目
34.715247,135.235863,神戸市灘区六甲町一丁目
34.716761,135.23524,神戸市灘区神前町一丁目
34.714438,135.233083,神戸市灘区六甲町四丁目
34.71861,135.235159,神戸市灘区八幡町三丁目
34.714879,135.234856,神戸市灘区六甲町二丁目
34.716447,135.234138,神戸市灘区神前町二丁目
34.718047,135.233631,神戸市灘区八幡町四丁目
34.71974,135.233486,神戸市灘区宮山町三丁目
34.722082,135.232757,神戸市灘区曾和町三丁目
34.716005,135.232754,神戸市灘区神前町三丁目
34.717675,135.232269,神戸市灘区篠原南町一丁目
34.71636,135.222074,神戸市灘区畑原通三丁目
34.712934,135.21807,神戸市灘区福住通七丁目
34.719443,135.231496,神戸市灘区篠原中町一丁目
34.721124,135.231413,神戸市灘区篠原本町一丁目
34.718716,135.223749,神戸市灘区上野通一丁目
34.717163,135.219784,神戸市灘区上野通四丁目
34.717312,135.217596,神戸市灘区国玉通四丁目
34.721371,135.222398,神戸市灘区五毛通一丁目
34.718693,135.216897,神戸市灘区五毛通四丁目
34.72445,135.215376,神戸市灘区畑原
34.715153,135.23273,神戸市灘区六甲町五丁目
34.714264,135.231571,神戸市灘区神ノ木通一丁目
34.71286,135.231608,神戸市灘区千旦通二丁目
34.714139,135.23102,神戸市灘区神ノ木通二丁目
34.712555,135.230764,神戸市灘区千旦通三丁目
34.713793,135.230175,神戸市灘区神ノ木通三丁目
34.715058,135.229612,神戸市灘区将軍通三丁目
34.713599,135.22902,神戸市灘区神ノ木通四丁目
34.714614,135.228514,神戸市灘区将軍通四丁目
34.712733,135.228343,神戸市灘区大内通一丁目
34.712295,135.22708,神戸市灘区大内通二丁目
34.713292,135.227389,神戸市灘区岸地通一丁目
34.713983,135.227193,神戸市灘区水道筋一丁目
34.71259,135.225486,神戸市灘区岸地通二丁目
34.713552,135.225089,神戸市灘区水道筋二丁目
34.714237,135.224814,神戸市灘区倉石通一丁目
34.712807,135.224075,神戸市灘区水道筋三丁目
34.713717,135.223679,神戸市灘区倉石通二丁目
34.714443,135.223385,神戸市灘区中原通二丁目
34.712511,135.223049,神戸市灘区水道筋四丁目
34.7133,135.222768,神戸市灘区倉石通三丁目
34.713959,135.222507,神戸市灘区中原通三丁目
34.712927,135.22196,神戸市灘区倉石通四丁目
34.713418,135.221867,神戸市灘区中原通四丁目
34.712106,135.220519,神戸市灘区倉石通六丁目
34.712589,135.221278,神戸市灘区倉石通五丁目
34.713289,135.220921,神戸市灘区中原通五丁目
34.714209,135.221387,神戸市灘区福住通四丁目
34.713905,135.220518,神戸市灘区福住通五丁目
34.714613,135.219966,神戸市灘区天城通五丁目
34.712526,135.219898,神戸市灘区中原通六丁目
34.713539,135.219692,神戸市灘区福住通六丁目
34.714315,135.218665,神戸市灘区天城通六丁目
34.713753,135.217552,神戸市灘区天城通七丁目
34.715784,135.231519,神戸市灘区神前町四丁目
34.717328,135.231181,神戸市灘区篠原南町二丁目
34.715558,135.230982,神戸市灘区将軍通一丁目
34.715365,135.23048,神戸市灘区将軍通二丁目
34.723015,135.230894,神戸市灘区篠原北町一丁目
34.716867,135.230129,神戸市灘区篠原南町三丁目
34.718652,135.230328,神戸市灘区篠原中町二丁目
34.721138,135.229804,神戸市灘区篠原本町二丁目
34.716379,135.229231,神戸市灘区篠原南町四丁目
34.719524,135.229318,神戸市灘区篠原中町三丁目
34.715867,135.22795,神戸市灘区篠原南町五丁目
34.717747,135.22819,神戸市灘区篠原中町四丁目
34.721144,135.228116,神戸市灘区篠原本町三丁目
34.718546,135.226818,神戸市灘区篠原中町五丁目
34.715201,135.226596,神戸市灘区篠原南町六丁目
34.71498,135.225667,神戸市灘区篠原南町七丁目
34.720777,135.226033,神戸市灘区篠原本町四丁目
34.717973,135.224145,神戸市灘区赤坂通一丁目
34.717558,135.225912,神戸市灘区篠原中町六丁目
34.715918,135.224905,神戸市灘区福住通一丁目
34.715108,135.22451,神戸市灘区中原通一丁目
34.716598,135.224785,神戸市灘区天城通一丁目
34.719725,135.224896,神戸市灘区篠原本町五丁目
34.717336,135.224464,神戸市灘区畑原通一丁目
34.715503,135.223915,神戸市灘区福住通二丁目
